,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g
0,Erdbeeren - olden Fruit - 530,-5,a,159.0,0.1,3.2,0.0,0.5,0.01
1,Bio Sojadrink - Milbona - 1L,-2,a,180.0,0.3,2.7,0.0,3.6,0.0
2,Hih Protein Puddin - Rewe beste Wahl - 200 ,-5,a,318.0,1.0,4.2,0.0,10.0,0.18
3,Pulpe de tomates - Nostia - 400,-5,a,88.0,0.1,2.7,0.0,0.7,0.02
4,Sauce tomate pour pizza - Mutti - 400,-2,a,151.0,0.1,4.2,0.0,1.6,0.75
5,Mandarin-Oranen - Edeka - 300 ,-4,a,197.0,0.1,8.5,0.0,0.8,0.05
6,Saskia Mineralwasser Classic - 0.5l,0,a,0.0,0.0,0.0,0.0,0.0,0.003
7,Naturalis Medium - 1.5 l,0,a,0.0,0.0,0.0,0.0,0.0,0.001
8,Wasser sanft - Artesia - 0.5 L,0,a,0.0,0.0,0.0,0.0,0.0,0.042
9,Œufs bio - Coop Naturaplan Bio - 6,-1,a,640.0,3.0,0.5,0.0,13.0,0.3
10,"Eau Cristaline - Cristalline - 1,5 L",0,a,0.0,0.0,0.0,0.0,0.0,0.028
11,Reine Buttermilch - Müller - 500 ,-2,a,162.0,0.4,4.2,0.0,3.4,0.12
12,Weizenmehl extra Type 405 - Diamant - 1k,-1,a,1435.0,0.1,0.7,0.0,10.0,0.01
13,Émincé de filets poulet - L’étal Du Volailler - 400,-4,a,448.0,0.7,0.0,0.0,23.0,0.1
14,rocholl Bratkartoffeln - rochou - 400,-2,a,402.0,0.5,1.0,0.0,2.3,0.8
15,Tomates Cerises Mutti - 400 ,-2,a,117.0,0.1,3.4,0.0,3.45,1.2
16,"Johurt mild 0,1% Fett - K-Classic - 500 ",-2,a,213.0,0.1,6.6,0.0,5.3,0.19
17,Reis - Uncle Ben's - 250,-1,a,653.0,0.2,0.0,0.0,3.7,0.02
18,Bertolli Olivenöl Extra Verine - 500 ml,-3,a,0.0,17.0,0.0,0.0,0.0,0.0
19,Mandarin Oranen - K-CLASSIC - 175,-2,a,285.0,0.1,15.0,0.0,0.5,0.0
20,Milch - ut & ünsti - 1l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
21,Lachs - Ocean Sea - 375,-2,a,858.0,1.7,0.0,0.0,20.0,0.2
22,"Haltbare Fettarme Milch 1,5% - K-Classic - 1l",-1,a,197.0,1.0,4.9,0.0,3.4,0.13
23,"Extaler Mineralquell - 1,25 l",0,a,0.0,0.0,0.0,0.0,0.0,0.003
24,"Mineral Quellen Naturell - Bad Liebenwerda - 0,5 l",0,a,0.0,0.0,0.0,0.0,0.0,0.002
25,"H-Milch 1,5% Fett Lactosefrei - Landfein - 1 l",-1,a,197.0,1.0,4.9,0.0,3.4,0.13
26,Milder Skyr Kirsche - Exquisa - 400,-4,a,305.0,0.1,7.0,0.0,9.7,0.1
27,H-Fettarme Milch - Schwälbchen - 1l,-1,a,197.0,1.0,4.9,0.0,3.4,0.0
28,Skyr craemi Erdbeere - Müller - 350 m,-3,a,289.0,0.0,8.2,0.0,7.6,0.14
29,Mano Püree - Diamond - 850,-3,a,301.0,0.2,13.0,0.0,0.5,0.01
30,Apfelmus - Sweet Valley - 710,-2,a,289.0,0.2,16.0,0.0,0.0,0.01
31,Speisequark - Penny - 100,-5,a,285.0,0.2,4.0,0.0,11.8,0.1
33,Maermilch Johurt - Optiwell - 500 ,-2,a,206.0,0.08,6.4,0.0,5.52,0.16
34,Speisequark - Ja - 500 ,-5,a,276.0,0.1,4.1,0.0,12.0,0.1
35,Johurt Mild - ja! - 500,-2,a,231.0,0.067,7.8,0.0,5.6,0.2
36,Entrahmte H-Milch - K-Classic - 1 l,-1,a,143.0,0.1,4.8,0.0,3.4,0.13
37,Frische fettarme Milch - Penny - 1 l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
38,milch - ,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
39,Speise Quark - Landfein - 500 ,-5,a,281.0,0.1,4.1,0.0,12.0,0.12
40,"Johurt mild 0,1% Fett - Weihenstephan - 500  ℮",-2,a,225.0,0.1,6.9,0.0,5.5,0.2
42,Mein Q Quarkcreme Protein Himbeere,-5,a,285.0,0.3,3.0,0.0,12.6,0.13
43,Haltbare fettarme Milch - Milbona - 1l,-1,a,195.0,1.0,4.8,0.0,3.4,0.13
44,Cannelloni - Cucina,-1,a,1481.0,0.2,3.0,0.0,12.0,0.01
45,Milch - K-Classic - 1l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
46,Wok Noodles - Natur companie - 250 ,-1,a,1477.0,0.5,3.0,0.0,12.0,0.0
47,Summer Fruits - reenyard - 1000,-4,a,230.0,0.0,6.6,0.0,1.2,0.01
48,Basmatireis - olden Sun - 1k,-1,a,1477.0,0.1,0.3,0.0,8.2,0.01
49,Maerquark - Alnatura - 500,-5,a,276.0,0.1,4.0,0.0,12.0,0.09
50,Panasius - Berida - 475,-5,a,312.0,1.0,0.0,0.0,14.0,0.2
51,"Speisequarkzubereitun, Demeter - Schrozberer Milchbauern",-5,a,251.0,0.2,3.9,0.0,9.7,0.18
52,Passata Rustica - Cucina - 690,-5,a,172.0,0.0,2.8,0.0,2.1,0.3
53,Spahetti tricolore - Italiamo - 500 ,-1,a,1464.0,0.3,3.28,0.0,12.5,0.0
55,Fruchtcocktail ezuckert - Freshona - 500,-3,a,268.0,0.1,13.2,0.0,0.3,0.02
56,Pulpe de tomates en morceaux - Mutti - 400,-5,a,105.0,0.1,2.8,0.0,1.2,0.1
57,Mandarin-Oranen - Edeka - 480,-2,a,251.0,0.0,13.8,0.0,0.4,0.01
58,Bio fettarmer Johurt mild - Söbbeke - 500 ,-2,a,267.0,1.0,6.0,0.0,5.4,0.18
59,Cerneaux de noix - Seeberer,-1,a,289.0,9.8,2.6,0.0,25.0,0.01
60,Lait Demi-écrémé Uht Lactel,-4,a,188.0,1.0,4.8,0.0,32.0,0.11
61,Fettarmer Johurt - Milfina - 500 ,-2,a,259.0,1.0,6.4,0.0,5.2,0.18
62,"Johurt mild 1,5% Fett - Alnatura - 150 ",-2,a,249.0,1.0,6.0,0.0,5.4,0.18
63,Mano Scheiben ezuckert - vitasia - 420 ,-3,a,247.0,0.0,13.4,0.0,0.5,0.05
64,Thon - Fjord Krone - 195,-4,a,494.0,0.1,0.0,0.0,26.0,0.178
65,Körnier Frischkäse - Cremisée,-2,a,297.0,0.3,1.6,0.0,15.2,0.9
66,Haltbare Landmilch - enerBiO - 1l,-1,a,201.0,1.0,5.0,0.0,3.5,0.12
67,Source Perrier eschmack Zitrone - Nestlé - 500ml,1,a,2.0,0.0,0.0,0.0,0.0,0.0
68,Coconut milk oriinal - Alpro - 1 l,-5,a,84.0,0.9,1.9,0.0,0.1,0.1
69,"Exquisa Fitline 0,2% - 200 ",-2,a,269.0,0.1,3.5,0.0,10.0,0.75
70,"Naturalis, still - 1.5l",0,a,0.0,0.0,0.0,0.0,0.0,0.064
71,Bioloische Halfvolle Melk - Jumbo - 1l,-1,a,192.0,1.0,4.6,0.0,3.4,0.1
72,Framboises - driscoll’s - 125,-6,a,222.0,0.1,2.0,0.0,2.0,0.0
73,"TIP - 1,5 l",0,a,0.0,0.0,0.0,0.0,0.0,0.012
74,Irish Low ow Fat Milk - Coolree - 1l,-1,a,188.0,0.9,4.7,0.0,3.4,0.1
75,Fettarmer Kefir mild - Müller - 500,-2,a,193.0,1.0,4.1,0.0,3.4,0.12
76,Frische fettarme Milch - BioBio - 1l,-1,a,197.0,0.9,4.9,0.0,3.4,0.13
77,2 Skinless and Boneless Wild Pink Salmon Fillets - Ocean Sea - 250 ,-4,a,400.0,0.5,0.0,0.0,21.0,0.2
78,Filet de colin - Ocean Sea - 950,-5,a,314.0,0.1,0.0,0.0,17.0,0.0
79,Uncle Ben's - Basmati-Reis - 125,-1,a,565.0,0.1,0.0,0.0,3.5,0.02
80,REWE Bio Apfel-Rhabarbermus - 360,-1,a,343.0,0.1,17.4,0.0,0.4,0.01
81,Ehrmann Hih Vitamin Johurt - 200,-7,a,184.0,0.9,3.0,0.0,4.4,0.1
82,Apfel & Mano Mark - Odenwald - 355,-2,a,335.0,0.1,17.9,0.0,0.3,0.01
83,Oeufs bio élevae en plein air - Miros Bio - 6,-1,a,650.0,3.0,0.5,0.0,13.0,0.3
84,Speisequark - Jeden Ta - 250 ramm,-2,a,410.0,2.9,3.6,0.0,11.0,0.1
85,Vöslauer Orene - 1 l,1,a,13.0,0.0,0.0,0.0,0.1,0.1
86,fettarme H-Milch laktosefrei - K-Free - 1 l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
87,Fettarmemilch - K-Classic - 1 l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
88,Kefir - Andechser - 500,-2,a,183.0,1.0,4.1,0.0,3.4,0.1
89,Apfelmus - Sweet valley - 710 ,-2,a,308.0,0.2,15.3,0.0,0.3,0.01
90,frische fettarme Milch - K-Free - 1 l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
91,Norweisches Lachsfilet - Sealuxe - 3 x 125 ,-1,a,824.0,3.0,0.0,0.0,20.0,0.15
92,"Irish Beef Hüftsteak - Purland - 0,181 ",-2,a,485.0,1.8,0.0,0.0,22.0,0.25
93,"Haltbare Alpenmilch 1,5% Fett - dm Bio - 1 l",-1,a,202.0,1.0,5.1,0.0,3.4,0.11
94,Milch / Lait 1.5% - K-Classic,-1,a,192.0,1.0,4.9,0.0,3.4,0.13
